date, pm25, pm10, o3, no2, so2
2024/2/25, 32, 8, 24, 3, 
2024/2/26, 35, 11, 25, 6, 
2024/2/27, 40, 16, 19, 14, 
2024/2/28, 61, 11, 21, 6, 
2024/2/29, 42, 7, 28, 3, 
2024/3/1, 26, 8, 35, 2, 
2024/3/2, 21, 11, 29, 5, 
2024/3/3, 36, 10, 33, 5, 
2024/3/4, 25, 24, 15, 15, 
2024/3/5, 64, 23, 20, 10, 
2024/3/6, 73, 24, 23, 5, 
2024/3/7, 76, 26, 30, 3, 
2024/3/8, 75, 21, 25, 5, 
2024/3/9, 68, 21, 25, 4, 
2024/3/10, 69, 28, 17, 6, 
2024/3/11, 80, 25, 22, 5, 
2024/3/12, 74, 9, 24, 5, 
2024/3/13, 39, 11, 24, 6, 
2024/3/14, 34, 14, 33, 3, 
2024/3/15, 32, 16, 34, 4, 
2024/3/16, 37, 12, 21, 6, 
2024/3/17, 55, 15, 31, 5, 
2024/3/18, 43, 14, 29, 9, 
2024/3/19, 46, 21, 30, 10, 
2024/3/20, 56, 13, 27, 7, 
2024/3/21, 48, 23, 24, 7, 
2024/3/22, 62, 16, 33, 5, 
2024/3/23, 38, 13, 30, 1, 
2024/3/24, 30, 18, 32, 6, 
2024/3/25, 39, 14, 23, 8, 
2024/3/26, 46, 12, 31, 5, 
2024/3/27, 34, 10, 33, 4, 
2024/3/28, 29, 8, 33, 3, 
2024/3/29, 24, 6, 31, 4, 
2024/3/30, 20, 13, 29, 4, 
2024/3/31, 42, 9, 31, 4, 
2023/10/1, 30, 19, 22, 10, 
2023/10/2, 33, 18, 26, 5, 
2023/10/3, 31, 14, 22, 4, 
2023/10/4, 10, 14, 24, 5, 
2023/10/5, 6, 17, 26, 6, 
2023/10/6, 16, 17, 30, 4, 
2023/10/7, 13, 16, 20, 4, 
2023/10/8, 18, 18, 21, 9, 
2023/10/9, 25, 22, 9, 10, 
2023/10/10, 38, 29, , 5, 
2023/10/11, 27, 18, , 7, 
2023/10/12, 15, 20, , 4, 
2023/10/13, 17, 16, , 3, 
2023/10/14, 9, 7, , 3, 
2023/10/15, 10, 10, , 7, 
2023/10/16, 13, 12, , 5, 
2023/10/17, 14, 10, , 4, 
2023/10/18, 27, 12, , 6, 
2023/10/19, 13, 10, , 6, 
2023/10/20, 21, 10, , 3, 
2023/10/21, 5, 9, , 3, 
2023/10/22, 8, 13, , 8, 
2023/10/23, 15, 9, , 5, 
2023/10/25, 24, 10, , 8, 
2023/10/26, 26, 13, , 10, 
2023/10/27, 28, 12, , 5, 
2023/10/28, 20, 9, , 1, 
2023/10/29, 14, 11, , 5, 
2023/10/30, 13, 10, , 7, 
2023/10/31, 22, 11, , 7, 
2023/11/1, 10, 8, , 1, 
2023/11/2, 10, 10, , 3, 
2023/11/3, 13, 8, , 3, 
2023/11/4, 18, 10, , 3, 
2023/11/5, 14, 9, , 4, 
2023/11/6, 14, 10, , 6, 
2023/11/7, 16, 11, , 5, 
2023/11/8, 20, 12, , 5, 
2023/11/9, 19, 8, , 6, 
2023/11/10, 23, 9, , 6, 
2023/11/11, 23, 13, , 9, 
2023/11/12, 47, 18, , 5, 
2023/11/13, 37, 26, , 4, 
2023/11/14, 32, 15, , 4, 
2023/11/15, 14, 10, , 9, 
2023/11/16, 25, 17, , 15, 
2023/11/17, 51, 11, , 8, 
2023/11/18, 49, 23, , 2, 
2023/11/19, 32, 16, , 7, 
2023/11/20, 20, 11, , 11, 
2023/11/21, 33, 12, , 10, 
2023/11/22, 57, 12, , 6, 
2023/11/23, 28, 14, , 1, 
